PhysicalDataID,Date,Station Code,150_ZoopStartMeter,150_ZoopEndMeter,50_ZoopStartMeter,50_ZoopEndMeter,FlowMeterSpeed,FieldComments
1152,11/23/2015,SHR,967829,970000,959487,960000,Low,
1153,11/9/2015,SHR,970877,974000,961185,962000,Low,
1155,10/28/2015,LIS,973314,975000,,,Low,
1156,10/12/2015,SHR,997107,999999,964268,965000,Low,
1157,11/24/2015,STTD,966549,968000,958970,959000,Low,
1158,10/28/2015,RCS,976946,978000,,,Low,
1163,12/9/2015,STTD,966307,966444,958910,959000,Low,
1164,12/10/2015,SHR,960000,962908,847777,958083,Low,
1167,1/12/2016,STTD,959042,961000,957936,958000,Low,
1168,1/27/2016,STTD,953876,956000,957252,957500,Low,
1169,1/28/2016,SHR,952409,954000,956771,957000,Low,
1172,1/13/2016,SHR,956434,959000,957664,958000,Low,
1173,12/23/2015,STTD,960261,962000,957897,958000,Low,
1174,12/22/2015,SHR,961509,962000,957781,958000,Low,Lots of debris so 4 minute set for 150
1175,2/23/2016,SHR,945397,947000,956897,957000,Low,
1176,2/22/2016,STTD,946284,948000,956787,957000,Low,
1179,2/8/2016,SHR,949672,952000,956664,957000,Low,
1180,2/9/2016,STTD,947934,950000,956672,957000,Low,
1181,3/30/2016,STTD,973000,976101,962000,962837,Regular,
1182,3/30/2016,SHR,972000,973504,962000,962200,Regular,
1184,3/25/2016,SHR,970000,972399,962000,962423,Regular,
1185,3/24/2016,STTD,965000,968653,960000,961744,Regular,
1187,3/7/2016,STTD,943614,945000,956875,957000,Low,
1188,3/8/2016,SHR,942071,943000,956778,957000,Low,didn't spin much due to flow
1189,3/17/2016,SHR,954830,957873,956500,957321,Regular,"backflow possibly, off dock"
1191,3/18/2016,STTD,958000,964802,957000,960274,Regular,
1193,4/8/2016,STTD,977000,981172,963000,963766,Regular,
1194,4/7/2016,SHR,976000,977210,963000,963098,Regular,
1197,4/18/2016,SHR,981000,982291,964000,964197,Regular,
1198,4/19/2016,STTD,982000,985492,964000,964278,Regular,
1203,5/5/2016,SHR,989000,989624,965000,965106,Regular,
1205,5/4/2016,STTD,986000,988909,964000,964496,Regular,
1206,5/19/2016,STTD,990000,991887,965000,965688,Regular,
1209,6/1/2016,STTD,0,148,965000,965215,Regular,
1210,5/31/2016,SHR,995000,999514,965600,966160,Regular,
1211,5/20/2016,SHR,991000,995550,965000,965616,Regular,
1215,6/14/2016,STTD,4000,5239,966000,966018,Regular,
1216,6/13/2016,SHR,0,4680,965000,966132,Regular,
1219,7/6/2016,SHR,33000,38414,967000,967850,Regular,motor used
1220,6/29/2016,SHR,5000,9835,966000,966686,Regular,
1221,6/30/2016,STTD,9000,10521,967000,967093,Regular,SFSU zoop 150 start time 10:50 start meter 010000 end meter 010069
1222,6/30/2016,BL5,10000,13375,,,Regular,SFSU Zoop 150 11:45-11:50 start meter 013000 end meter 016253
1223,6/30/2016,LIB,16000,19740,,,Regular,flood tide jet moter used
1224,6/30/2016,RYI,20000,24411,,,Regular,
1225,6/30/2016,SRV,24000,28726,,,Regular,
1226,6/30/2016,RVB,29000,32468,,,Regular,
1227,7/7/2016,STTD,38000,39214,968000,968146,Regular,ZOOP150 FOR SFSU 5MINS 39000-41055
